,0
278,-12.914270737942369
279,-12.914270737942369
280,-12.914270737942369
281,-12.914270737942369
282,-12.914270737942369
283,-12.914270737942369
284,-12.914270737942369
285,-12.914270737942369
286,-12.914270737942369
287,-12.914270737942369
288,-12.914270737942369
289,-12.914270737942369
290,-12.914270737942369
291,-12.914270737942369
292,-12.914270737942369
293,-12.914270737942369
294,-12.914270737942369
295,-12.914270737942369
296,-12.914270737942369
297,-12.914270737942369
298,-12.914270737942369
299,-12.914270737942369
300,-12.914270737942369
301,-12.914270737942369
302,-12.914270737942369
303,-12.914270737942369
304,-12.914270737942369
305,-12.914270737942369
306,-12.914270737942369
307,-12.914270737942369
308,-12.914270737942369
309,-12.914270737942369
310,-12.914270737942369
311,-12.914270737942369
312,-12.914270737942369
313,-12.914270737942369
314,-12.914270737942369
315,-12.914270737942369
316,-12.914270737942369
317,-12.914270737942369
318,-12.914270737942369
319,-12.914270737942369
320,-12.914270737942369
321,-12.914270737942369
322,-12.914270737942369
323,-12.914270737942369
324,-12.914270737942369
325,-12.914270737942369
326,-12.914270737942369
327,-12.914270737942369
328,-22.42479900711959
329,-22.42479900711959
330,-22.42479900711959
331,-22.42479900711959
332,-22.42479900711959
333,-22.42479900711959
334,-22.42479900711959
335,-22.42479900711959
336,-22.42479900711959
337,-22.42479900711959
338,-22.42479900711959
339,-22.42479900711959
340,-22.42479900711959
341,-22.42479900711959
342,-22.42479900711959
343,-22.42479900711959
344,-22.42479900711959
345,-22.42479900711959
346,-22.42479900711959
347,-22.42479900711959
348,-22.42479900711959
349,-22.42479900711959
350,-22.42479900711959
351,-22.42479900711959
352,-22.42479900711959
353,-22.42479900711959
354,-22.42479900711959
355,-22.42479900711959
356,-22.42479900711959
357,-22.42479900711959
358,-22.42479900711959
359,-22.42479900711959
360,-22.42479900711959
361,-22.42479900711959
362,-22.42479900711959
363,-22.42479900711959
364,-22.42479900711959
365,-22.42479900711959
366,-22.42479900711959
367,-22.42479900711959
368,-22.42479900711959
369,-22.42479900711959
370,-22.42479900711959
371,-22.42479900711959
372,-22.42479900711959
373,-22.42479900711959
374,-22.42479900711959
375,-22.42479900711959
376,-22.42479900711959
377,-22.42479900711959
378,-22.42479900711959
379,-22.42479900711959
380,-22.42479900711959
381,-22.42479900711959
382,-22.42479900711959
383,-22.42479900711959
384,-22.42479900711959
385,-22.42479900711959
386,-22.42479900711959
387,-22.42479900711959
388,-22.42479900711959
389,-22.42479900711959
390,-22.42479900711959
391,-22.42479900711959
392,-12.409750256135327
393,-12.409750256135327
394,-12.409750256135327
395,-12.409750256135327
396,-12.409750256135327
397,-12.409750256135327
398,-12.409750256135327
399,-12.409750256135327
400,-12.409750256135327
401,-12.409750256135327
402,-12.409750256135327
403,-12.409750256135327
404,-12.409750256135327
405,-12.409750256135327
406,-12.409750256135327
407,-12.409750256135327
408,-12.409750256135327
409,-12.409750256135327
410,-12.409750256135327
411,-12.409750256135327
412,-12.409750256135327
413,-12.409750256135327
414,-12.409750256135327
415,-12.409750256135327
416,-12.409750256135327
417,-12.409750256135327
418,-12.409750256135327
419,-12.409750256135327
420,-12.409750256135327
421,-12.409750256135327
422,-12.409750256135327
423,-12.409750256135327
424,-12.409750256135327
425,-12.409750256135327
426,-12.409750256135327
427,-12.409750256135327
428,-12.409750256135327
429,-12.409750256135327
430,-12.409750256135327
431,-12.409750256135327
432,-12.409750256135327
433,-12.409750256135327
434,-12.409750256135327
435,-12.409750256135327
436,-12.409750256135327
437,-12.409750256135327
438,-12.409750256135327
439,-12.409750256135327
440,-12.409750256135327
441,-12.409750256135327
442,-12.409750256135327
443,-12.409750256135327
444,-12.409750256135327
445,-12.409750256135327
446,-12.409750256135327
447,-12.409750256135327
448,-12.409750256135327
449,-12.409750256135327
450,-12.409750256135327
451,-12.409750256135327
452,-12.409750256135327
453,-12.409750256135327
454,-12.409750256135327
455,-12.409750256135327
456,-12.409750256135327
457,-12.409750256135327
458,-12.409750256135327
459,-12.409750256135327
460,-9.536396272403815
461,-9.536396272403815
462,-9.536396272403815
463,-9.536396272403815
464,-9.536396272403815
465,-9.536396272403815
466,-9.536396272403815
467,-9.536396272403815
468,-9.536396272403815
469,-9.536396272403815
470,-9.536396272403815
471,-9.536396272403815
472,-9.536396272403815
473,-9.536396272403815
474,-9.536396272403815
475,-9.536396272403815
476,-9.536396272403815
477,-9.536396272403815
478,-9.536396272403815
479,-9.536396272403815
480,-9.536396272403815
481,-9.536396272403815
482,-9.536396272403815
483,-9.536396272403815
484,-9.536396272403815
485,-9.536396272403815
486,-9.536396272403815
487,-9.536396272403815
488,-9.536396272403815
489,-9.536396272403815
490,-9.536396272403815
491,-9.536396272403815
492,-9.536396272403815
493,-9.536396272403815
494,-9.536396272403815
495,-9.536396272403815
496,-9.536396272403815
497,-9.536396272403815
498,-9.536396272403815
499,-9.536396272403815
500,-9.536396272403815
501,-9.536396272403815
502,-9.536396272403815
503,-9.536396272403815
504,-9.536396272403815
505,-9.536396272403815
506,-9.536396272403815
507,-9.536396272403815
508,-9.536396272403815
509,-9.536396272403815
510,-9.536396272403815
511,-9.536396272403815
512,-9.536396272403815
